paper_ID,PDF_ID,Author-year,Unique,Classification1,Location1,Text1,Classification2,Location2,Text2,
1,1,Allen 1984,1,1,abstract,"union productivity, measured by value added per employee, is 44 to 52 percent higher than nonunion.",,,,
2,2,Allen 1985,1,100,,●,,,,
3,3,Allen 1986a,0,1,abstract,"Within the sample of private projects, the estimates of the union-nonunion productivity difference are generally positive but very imprecise.","1 for private projects, unmentioned for public",abstract,"The results show that the productivity of union contractors is much greater in private than in public projects. Within the sample of private projects, the estimates ofthe union-nonunion productivity difference are generally positive but very imprecise.",
4,4,Allen 1986b,1,1,abstract,union productivity in the office building projects was at least 30 percent higher than nonunion productivity,,,,
5,5,Allen 1988a,1,1,abstract,"erosion of productivity advantage of union contractors, which dropped substantially between 1972 and 1977 and vanished by 1982.",,,,
6,6,Allen 1988b,1,1,abstract,square footage put in place per hour is 51 percent greater for union than nonunion contractors. The study finds no difference in mean cost per square foot and offers mixed econometric evidence on translog cost functions. There is also no difference in profit rates or prices between union and nonunion contractors.,,,,
7,a7,Anwar and Sun 2015,1,101,abstract,"On average, unionised firms pay higher wages but further investigation revealed that the positive impact on average wage in textile industry is restricted to workers in domestic firms; unionisation has not affected the average wage in foreign invested textile firms.",,,,
8,7,Argys and Rees 1995,1,103,,●,,,,
9,8,Arthur 1994,1,1,abstract,"The mills with commitment systems  had higher productivity, lower scrap rates, and lower employee turnover than those with control systems.",,,,
10,9,Baldwin 1992,1,100,,●,,,,
11,10,Bartel 1994,1,100,,●,,,,
12,11,Batt 1999,1,100,,●,,,,
13,13,Black and Lynch 2001,1,0,abstract,"Unionized establishments that have adopted human resource practices that promote joint decision making coupled with incentive-based compensation have higher productivity than other similar nonunion plants, whereas unionized businesses that maintain more traditional labor management relations have lower productivity.",101,abstract,"Unionized establishments that have adopted human resource practices that promote joint decision making coupled with incentive-based compensation have higher productivity than other similar nonunion plants, whereas unionized businesses that maintain more traditional labor management relations have lower productivity.",
14,a14,Black and Lynch 1996,1,1,introduction,"In nonmanufacturing, unionization has a positive and rather large effect on establishment productivity.",,,,
15,14,Boal 1990,0,0,abstract,unionism significantly reduced productivity at small mines but not at large mines.,"1 for small mines, 0 for large",abstract,"the union effect was not uniform across mines and cannot be represented by a simple shift parameter. Rather, unionism significantly reduced productivity at small mines but not at large mines.",
16,15,Bronars and Deere 1994,1,0,conclusion,observed cross-firm decrease in expected profits,,,,
17,16,Brown and Medoff 1978,1,1,abstract,unionization is found to have a substantial positive effect on output per worker.,,,,
18,17,Brunello 1992,1,0,abstract,"The findings suggest that Japanese unions in the sample substantially reduced both productivity and profitability, as well as regular wages net of bonuses and fringes.",,,,
19,a19,"Budd, Chi, Wang, and Xie 2014",0,1,abstract,union density… is positively associated with aggregate productivity and output.,101,abstract,"The findings indicate that union density does not affect average wage levels, but is positively associated with aggregate productivity and output.",
